Postcode;PercentageTrees;PercentageBushes;PercentageGrass
3137;28,20;10,19;50,74
3138;40,78;13,78;55,82
3141;28,96;9,24;49,92
3142;25,22;8,39;37,21
3143;37,50;10,47;50,42
3144;14,95;7,07;44,19
3145;19,84;8,73;42,31
3146;20,98;9,02;50,28
3147;15,83;6,09;50,51
3151;25,43;13,57;57,88
3155;23,33;9,22;63,83
3161;30,63;12,02;53,25
3162;7,70;6,58;42,32
3165;34,71;5,27;48,91
3171;21,67;9,86;46,09
3172;35,26;10,00;59,49
3176;53,17;9,33;36,19
3181;33,43;11,27;52,27
3191;27,84;8,32;38,71
3192;30,99;10,62;41,97
3193;44,00;7,56;41,90
3194;34,27;6,80;47,47
3195;32,42;8,77;51,34
3196;18,06;6,73;43,41
3197;28,27;5,87;49,73
3198;22,80;9,58;62,25
3199;18,75;11,44;58,60
3201;23,90;7,99;38,41
3202;41,67;8,47;44,83
3203;27,79;7,57;36,99
3204;24,37;8,97;33,54
3205;27,74;8,80;54,01
3206;24,40;7,92;30,54
3207;22,17;13,09;53,18
3208;39,51;9,44;38,52
3209;21,69;8,26;57,91
3211;33,29;9,13;57,95
3212;35,18;10,60;63,34
3214;23,05;9,34;70,10
3216;26,59;8,33;59,42
3218;33,88;8,01;52,66
3221;27,42;14,66;53,11
3222;28,41;11,50;57,90
3223;25,30;9,52;51,02
3224;27,43;9,45;44,78
3225;31,35;9,21;44,90
3227;26,92;9,48;61,34
3231;33,61;9,26;52,89
3232;20,88;8,98;49,04
3233;39,00;15,60;53,79
3234;25,59;9,66;61,27
3235;40,59;15,30;52,94
3237;24,65;8,55;61,49
3238;34,30;8,96;60,66
3241;29,50;9,58;57,10
3243;26,36;7,75;63,47
3244;29,41;11,77;58,39
3245;25,08;8,79;61,03
3247;25,69;13,83;74,88
3248;29,38;15,12;62,85
3249;24,59;12,47;66,71
3251;28,31;21,81;60,12
3252;30,93;20,34;67,98
3253;27,75;17,36;61,55
3255;29,08;9,29;60,53
3256;25,63;8,50;58,95
3257;34,33;16,10;63,42
3258;28,83;10,02;61,95
3261;18,58;8,74;50,72
3262;22,41;8,82;48,48
3263;24,83;8,94;42,67
3264;22,20;8,36;54,85
3265;22,45;8,28;58,91
3267;25,50;8,28;79,25
3271;27,06;9,98;53,95
3273;21,00;9,55;58,17
3274;30,90;11,78;52,67
3281;32,27;9,49;58,60
3284;31,71;9,98;70,20
3286;24,72;8,07;60,38
3291;24,26;9,13;66,22
3292;30,48;12,87;65,03
3293;30,29;9,72;54,74
3295;26,25;10,78;53,90
3297;26,93;12,17;50,44
3299;27,27;9,27;56,56
3311;26,30;8,74;28,49
3312;29,73;9,44;47,58
3313;32,48;14,40;58,29
3314;23,37;8,40;36,49
3315;21,87;9,06;43,67
3316;30,52;8,02;47,69
3317;29,06;8,75;42,34
3318;27,56;8,34;40,27
3319;28,70;9,18;43,36
3328;30,77;9,42;44,50
3329;31,65;12,34;66,29
3331;22,34;8,21;35,31
3332;21,71;8,55;43,40
3333;27,76;7,28;39,53
3334;28,53;7,95;46,28
3335;34,45;10,06;48,35
3336;27,38;14,99;51,70
3341;24,75;9,94;46,16
3342;23,11;10,08;54,88
3343;25,00;9,09;42,44
3344;8,92;7,27;39,41
3351;20,93;7,65;45,31
3352;21,48;9,04;48,97
3353;19,54;7,98;38,83
3354;27,04;9,48;43,29
3355;16,37;8,41;41,75
3356;32,26;8,89;45,28
3361;19,52;9,28;38,40
3362;21,27;8,81;38,78
3363;24,68;8,97;44,54
3364;22,54;7,41;58,44
3366;31,28;8,40;61,44
3371;21,28;9,53;47,04
3372;21,02;10,02;56,82
3373;24,00;7,52;66,57
3381;23,06;8,59;61,14
3401;22,89;9,51;51,46
3402;32,01;9,22;51,09
3403;26,47;8,64;60,76
3404;13,30;8,11;43,96
3405;19,35;7,89;59,84
3411;23,56;8,69;59,83
3412;27,13;8,74;59,58
3413;20,82;6,15;62,89
3415;23,01;8,19;55,46
3417;18,79;8,19;57,08
3421;21,34;8,49;54,05
3425;19,89;8,84;61,73
3431;26,68;8,44;37,64
3432;36,58;9,41;43,23
3433;31,28;8,66;51,57
3434;34,35;9,58;44,29
3435;27,14;10,18;42,70
3436;31,46;9,39;36,32
3437;26,99;9,48;46,21
3438;29,83;9,16;46,34
3439;31,27;8,31;50,92
3441;32,63;6,38;29,80
3442;19,71;7,63;33,51
3443;24,53;8,14;48,76
3444;29,58;7,92;59,20
3445;19,94;8,59;48,35
3446;16,38;8,76;49,88
3447;22,53;7,67;32,93
3448;25,75;8,97;48,47
3449;21,14;7,99;48,96
3451;22,00;9,70;52,92
3452;7,73;6,94;41,21
3453;14,00;8,08;49,87
3454;24,65;8,76;43,17
3455;38,51;8,22;62,11
3461;32,54;8,96;51,95
3464;17,39;8,09;51,37
3465;16,23;8,28;57,47
3466;20,91;9,07;51,61
3467;18,42;8,83;62,64
3471;20,94;9,13;51,73
3474;19,59;8,11;53,54
3481;24,24;9,01;54,30
3511;27,23;6,74;27,66
3512;34,11;7,89;28,92
3513;17,42;8,34;30,76
3514;22,62;10,09;35,09
3515;20,78;9,47;33,69
3521;15,74;8,56;31,47
3522;16,82;8,82;27,86
3523;25,33;8,91;40,23
3524;34,03;10,08;42,47
3525;26,56;9,00;35,97
3526;29,92;7,85;35,92
3527;22,94;7,29;34,76
3528;24,11;9,12;51,79
3531;20,41;7,95;24,23
3532;19,40;8,14;31,72
3533;26,69;9,83;36,52
3534;21,74;8,85;34,67
3541;17,96;5,14;42,27
3542;28,28;8,43;40,33
3543;13,66;7,33;47,82
3544;15,38;8,42;41,95
3545;31,48;9,20;55,63
3546;25,10;9,51;65,18
3551;21,73;8,49;29,45
3552;27,47;7,34;31,32
3553;26,86;8,69;28,76
3554;22,38;7,20;37,55
3555;24,08;7,71;43,63
3561;26,12;8,09;38,69
3562;30,85;7,59;38,86
3563;32,57;8,79;37,62
3564;30,27;8,23;39,44
3565;42,77;8,02;41,41
3566;34,21;10,31;54,78
3571;22,73;10,91;38,19
3572;25,49;9,92;33,17
3573;31,45;9,70;44,83
3581;31,31;8,87;32,80
3582;31,66;8,73;36,95
3583;29,36;10,52;33,82
3584;32,91;9,59;45,40
3585;41,55;10,24;55,72
3601;26,29;10,96;51,17
3602;32,38;9,71;47,72
3603;28,39;9,32;45,91
3604;23,89;8,84;43,49
3605;21,89;8,64;33,35
3606;29,36;8,75;34,85
3607;23,54;9,58;35,21
3608;34,71;9,78;31,69
3611;38,44;10,90;48,20
3612;28,47;12,78;56,24
3615;25,71;12,64;66,47
3621;29,87;9,54;45,48
3625;28,49;16,18;53,25
3626;19,81;9,63;54,90
3628;18,94;9,25;53,77
3631;39,09;8,72;50,77
3632;31,23;9,41;55,31
3633;26,89;10,16;55,44
3634;23,69;8,34;51,08
3641;23,66;8,47;50,29
3642;22,23;8,88;48,68
3643;21,00;8,47;54,66
3645;20,28;10,45;47,03
3646;22,32;8,07;65,60
3648;23,32;8,78;53,51
3651;25,79;11,80;56,76
3652;27,71;9,93;43,31
3653;14,95;6,79;55,85
3701;41,34;8,66;31,28
3702;25,44;9,06;35,32
3703;38,93;9,25;44,70
3704;34,89;9,54;41,24
3705;47,05;8,63;31,77
3706;58,23;9,88;24,36
3707;60,71;8,63;29,79
3708;56,73;8,00;30,53
3709;45,97;10,43;46,29
3711;58,09;9,40;31,38
3712;56,82;8,72;37,50
3721;38,50;9,11;38,43
3722;53,05;8,37;30,77
3723;59,93;8,37;29,62
3731;33,54;10,81;47,97
3732;54,72;8,55;39,91
3734;58,61;9,00;36,61
3735;64,77;7,81;25,07
3737;46,09;10,32;47,54
3738;40,53;8,56;48,71
3739;54,77;9,52;47,48
3741;29,24;9,03;52,45
3742;25,41;9,68;45,42
3743;51,92;9,27;34,35
3744;60,58;8,38;32,87
3749;61,99;7,74;31,33
3751;19,52;7,42;60,50
3752;22,76;8,08;57,24
3754;16,72;6,93;68,12
3755;35,40;9,51;60,28
3761;31,61;10,20;47,54
3762;31,10;9,24;40,85
3763;44,43;8,46;52,80
3764;27,90;9,22;59,24
3765;30,74;9,26;47,91
3766;53,82;8,50;37,41
3768;56,93;8,69;43,24
3769;48,06;9,42;36,36
3771;36,80;7,99;47,70
3772;29,01;7,51;42,50
3773;21,04;9,10;42,97
3774;37,35;7,07;54,94
3775;65,66;7,72;31,23
3776;55,51;7,98;35,75
3781;44,52;8,92;45,45
3784;44,05;8,57;48,04
3785;27,05;11,45;60,23
3791;29,40;8,51;62,39
3792;41,25;6,80;49,86
3794;37,69;7,56;51,36
3811;24,82;7,99;35,76
3812;22,92;8,65;39,31
3813;22,90;9,77;43,28
3814;18,23;8,21;42,69
3815;29,33;9,78;45,07
3816;27,68;10,14;49,72
3817;42,55;9,94;39,02
3818;48,42;9,69;40,84
3819;61,06;8,45;31,56
3821;30,92;9,11;43,74
3822;29,89;10,11;52,84
3823;15,45;9,74;44,47
3824;16,53;8,91;48,11
3825;15,13;8,59;56,61
3826;17,14;7,13;50,98
3828;27,14;9,40;57,62
3829;15,82;8,94;53,38
3831;40,74;9,97;41,51
3832;49,63;9,98;42,72
3833;29,86;9,41;44,25
3834;22,40;9,50;35,11
3835;27,48;9,35;65,21
3836;42,57;8,88;53,91
3841;19,83;7,76;35,69
3842;25,54;7,40;34,81
3843;40,20;9,33;36,74
3844;30,12;8,85;39,98
3845;51,16;8,06;40,09
3846;18,13;8,31;39,65
3847;61,46;8,27;32,47
3848;23,93;9,99;41,86
3849;45,00;8,34;53,36
3851;49,25;8,56;39,12
3852;64,60;8,13;36,08
3853;43,31;8,65;46,16
3861;22,79;8,26;59,69
3862;42,57;9,21;50,29
3863;15,82;9,16;51,75
3864;21,23;8,94;65,49
3871;31,22;9,72;51,92
3881;60,87;8,24;31,86
3882;41,67;8,67;52,33
3886;62,68;7,93;32,33
3888;58,68;8,10;40,89
3891;25,17;7,88;45,51
3892;29,55;9,09;44,63
3893;20,64;9,35;49,87
3894;22,92;9,88;53,19
3895;3,71;4,62;72,54
3896;47,33;11,51;47,92
3897;38,03;10,67;57,37
3898;46,85;10,77;48,68
3899;28,25;6,83;50,22
3901;24,11;7,87;39,89
3902;26,44;10,17;51,12
3903;22,65;7,71;38,54
3904;30,12;9,09;41,62
3905;25,28;8,00;43,87
3906;31,31;8,98;45,83
3907;16,15;6,98;47,22
3911;52,46;8,58;41,97
3912;57,79;8,95;28,31
3921;59,34;8,67;43,64
3922;53,67;10,61;46,26
3925;44,10;7,74;39,36
3927;39,81;8,16;44,78
3931;50,41;8,50;38,39
3941;62,31;7,96;29,76
3945;19,64;8,40;55,24
3947;37,55;12,79;51,75
3951;60,26;8,25;33,11
3953;58,02;8,03;38,96
3956;58,52;8,61;36,07
3958;53,64;10,23;44,79
3959;54,12;8,44;41,02
3961;26,73;9,07;54,19
3962;23,16;9,94;53,07
3971;64,13;7,51;28,67
3972;41,52;10,82;48,64
3981;39,16;10,18;48,41
3984;23,39;9,70;54,37
3985;34,12;8,62;52,65
3989;20,93;9,98;72,64
3991;16,59;8,79;51,94
3992;26,28;9,03;54,71
3993;21,93;9,28;48,67
3994;19,03;9,58;55,87
3995;14,70;7,13;32,47
3997;25,24;6,77;58,76
3998;25,64;7,68;65,60
3999;26,77;9,33;70,53
4001;21,79;8,71;42,83
4002;28,58;10,68;45,90
4003;22,46;9,50;51,46
4004;16,93;8,67;52,69
4005;21,99;8,32;54,07
4006;25,12;8,89;54,80
4007;12,81;9,35;52,87
4011;36,29;8,72;60,39
4012;26,27;9,11;58,49
4013;27,37;8,82;58,98
4014;20,91;7,36;62,96
4016;26,12;9,47;61,20
4017;25,52;9,69;60,64
4021;24,11;8,56;61,32
4023;32,28;8,86;61,88
4024;23,12;7,28;61,89
4031;22,92;7,32;62,54
4032;27,30;7,80;61,74
4033;21,03;8,38;57,91
4041;19,07;7,82;56,35
4043;19,64;7,83;50,76
4051;19,76;8,18;60,27
4053;20,84;7,64;64,70
4054;21,98;8,18;61,11
4061;26,94;7,58;59,57
4062;29,97;8,56;54,75
4063;28,70;10,62;67,64
4064;28,59;9,39;61,21
4101;27,11;10,34;55,66
4102;21,33;8,66;51,51
4103;22,03;9,98;58,35
4104;25,90;6,55;45,77
4105;16,80;8,86;54,13
4106;23,09;8,64;60,70
4107;29,32;13,33;63,25
4111;22,57;9,16;68,27
4112;25,27;9,93;61,83
4115;23,88;8,32;63,85
4116;31,42;7,81;58,67
4117;22,56;9,05;60,55
4119;25,41;7,63;67,10
4121;24,69;9,99;68,58
4122;27,80;10,20;62,36
4124;29,13;10,04;65,36
4125;19,40;5,07;43,59
4126;24,90;8,55;63,08
4128;27,00;9,29;62,81
4131;35,85;10,46;55,70
4132;22,34;9,64;47,64
4133;31,64;9,91;56,40
4141;20,46;9,37;47,67
4142;22,30;7,42;49,77
4143;24,54;8,85;57,93
4145;29,70;9,34;61,85
4147;26,98;9,74;52,88
4151;30,58;9,55;62,46
4152;33,26;9,92;55,21
4153;37,87;9,45;54,06
4155;33,97;8,60;61,84
4156;27,51;8,61;59,93
4157;25,94;8,21;62,90
4158;24,82;6,74;58,94
4161;39,39;11,14;48,18
4163;23,96;10,95;65,81
4171;31,15;9,17;56,57
4174;20,89;7,68;65,01
4175;28,24;10,63;52,33
4176;23,69;7,92;61,29
4181;26,42;9,21;57,73
4182;32,99;7,94;57,63
4184;28,13;8,71;58,63
4185;22,15;8,59;58,25
4191;22,62;8,77;53,22
4194;17,74;7,93;56,66
4196;25,31;10,61;63,93
4197;25,01;8,21;63,07
4201;25,98;10,08;45,20
4202;31,13;11,64;46,58
4203;20,92;9,12;45,54
4204;28,57;9,13;46,61
4205;24,79;9,37;52,38
4206;23,18;7,87;41,60
4207;21,28;9,56;47,89
4208;23,01;6,84;47,84
4209;23,93;10,61;56,12
4211;30,07;12,49;52,62
4212;30,45;10,36;71,45
4213;26,28;12,04;54,68
4214;35,34;10,18;55,99
4221;22,68;8,00;60,37
4223;22,31;8,68;59,75
4225;24,90;7,62;64,64
4231;24,59;9,58;61,44
4233;22,94;9,44;60,47
4235;20,48;7,81;73,57
4241;25,75;9,39;55,09
4243;27,34;8,04;58,62
4245;21,17;7,28;65,05
4247;29,51;9,68;60,85
4251;28,68;11,81;59,64
4254;25,69;11,37;57,96
4255;21,52;9,64;57,18
4261;21,71;8,55;62,42
4264;19,73;8,64;56,71
4265;28,48;9,61;57,10
4266;22,17;8,01;69,54
4267;27,25;8,22;64,95
4268;25,47;9,20;62,95
4269;36,14;10,78;60,48
4271;26,84;9,60;63,62
4273;32,28;11,76;56,98
4281;24,96;9,43;60,47
4283;31,42;7,93;54,81
4284;27,80;9,62;59,68
4285;25,44;9,60;63,61
4286;25,74;9,65;62,29
4287;20,25;8,05;62,58
4288;27,42;12,07;65,29
4301;21,39;9,03;57,35
4302;9,86;9,63;55,66
4303;12,95;9,07;53,24
4305;44,09;10,52;52,76
4306;19,90;9,31;58,93
4307;25,12;8,36;56,85
4308;23,42;9,08;58,13
4311;27,68;12,24;59,86
4315;27,41;10,59;59,36
4316;22,22;14,40;67,85
4317;44,46;9,60;45,70
4318;21,41;12,97;59,77
4321;19,61;9,77;65,95
4322;21,08;13,12;58,48
4323;26,34;11,66;64,95
4325;34,07;12,79;56,60
4326;21,93;13,43;66,55
4327;45,49;12,87;59,51
4328;36,03;12,09;63,25
4331;30,75;8,99;29,90
4332;22,71;9,12;54,89
4333;22,67;10,40;54,64
4334;23,21;11,11;45,93
4335;30,33;9,63;43,40
4336;23,26;8,69;43,75
4337;20,80;8,34;51,75
4338;19,07;8,17;46,81
4339;26,01;9,11;62,42
4341;34,49;8,98;54,59
4351;40,64;10,14;47,50
4352;26,86;10,40;56,31
4353;22,83;10,01;58,01
4354;24,52;16,22;61,10
4356;41,77;12,49;49,73
4357;37,25;12,31;50,87
4361;27,44;14,77;55,28
4363;24,24;10,11;58,58
4364;23,41;9,68;58,22
4365;21,92;9,87;57,49
4371;26,08;13,24;56,87
4373;34,42;14,70;56,00
4374;21,61;14,17;57,76
4381;13,26;7,02;34,34
4382;22,82;9,86;47,95
4383;24,70;8,99;52,71
4384;28,13;11,31;51,23
4385;18,56;9,36;47,52
4386;19,40;10,25;50,54
4387;18,55;10,10;53,36
4388;24,15;8,76;45,09
4389;32,48;9,77;61,53
4401;21,18;8,52;59,88
4411;32,80;11,38;67,28
4413;14,64;7,72;58,23
4414;16,77;9,06;73,51
4415;12,29;6,62;63,80
4416;26,83;7,86;58,25
4417;23,86;8,75;60,44
4421;20,00;8,35;55,77
4423;19,96;8,03;64,01
4424;20,65;9,12;52,50
4431;23,46;7,36;55,65
4433;14,96;9,71;64,48
4434;22,42;7,87;65,00
4435;20,81;8,63;67,24
4436;24,78;9,04;67,82
4437;23,12;8,08;75,42
4438;22,54;9,11;65,35
4441;23,17;9,54;65,48
4443;22,79;8,99;63,94
4444;19,71;9,32;66,10
4451;23,47;8,74;59,47
4453;24,03;8,19;64,98
4454;30,35;12,03;65,54
4455;27,84;8,75;63,52
4456;24,32;8,04;61,29
4458;33,87;9,59;56,94
4461;24,38;8,55;34,63
4462;26,68;8,03;49,18
4463;28,10;9,20;43,34
4464;24,37;9,52;40,81
4465;18,90;9,34;61,95
4471;33,39;10,05;57,25
4472;24,93;10,23;55,39
4474;19,60;8,70;57,10
4475;29,03;10,45;54,37
4481;24,54;8,65;55,80
4482;32,11;8,93;63,10
4484;30,93;8,51;54,83
4485;25,39;8,72;56,63
4486;23,13;9,13;60,48
4491;29,14;9,16;60,65
4493;39,49;13,60;54,73
4494;26,98;7,94;52,96
4501;23,43;8,82;61,84
4503;25,14;10,66;63,69
4504;19,57;11,18;65,59
4505;23,82;7,40;63,22
4506;24,76;11,84;63,34
4507;25,17;7,62;60,92
4508;28,73;8,38;64,40
4511;21,91;8,98;63,20
4513;29,27;8,07;64,41
4515;29,49;9,72;62,26
4521;28,41;15,91;64,04
4522;28,21;8,06;65,27
4524;28,85;7,67;60,11
4525;21,00;11,70;64,04
4527;27,78;10,16;61,08
4528;36,60;9,23;60,82
4529;25,31;7,48;65,62
4531;22,93;6,97;42,79
4532;26,80;8,35;45,48
4533;20,03;8,04;53,56
4535;27,09;9,55;42,26
4536;24,60;6,99;39,04
4537;23,62;8,14;41,07
4538;25,45;9,74;56,86
4539;28,24;16,03;59,67
4541;28,88;8,83;59,35
4542;34,63;9,88;60,10
4543;30,38;8,74;61,62
4551;33,68;9,27;51,82
4553;46,32;8,49;57,65
4554;31,60;11,29;64,11
4561;39,66;8,76;50,76
4562;19,59;9,65;52,14
4564;27,60;8,71;55,38
4565;54,44;8,26;45,26
4566;36,93;8,47;56,47
4567;50,50;7,39;46,86
4568;33,77;8,68;85,35
4569;30,10;6,83;59,78
4571;39,47;9,85;56,10
4574;43,35;8,22;56,27
4575;41,18;8,90;58,01
4576;45,75;8,80;51,55
4581;27,82;10,31;59,77
4583;24,43;8,14;67,05
4584;30,10;7,92;64,19
4585;26,78;7,93;60,94
4586;26,97;8,60;59,00
4587;20,19;6,55;62,21
4588;25,36;9,27;69,00
4589;23,63;9,12;66,36
4611;30,37;6,95;30,06
4612;27,15;12,61;62,15
4613;25,37;9,34;42,81
4614;43,72;8,66;49,58
4615;25,54;8,27;42,90
4616;13,26;10,11;66,07
4617;21,50;10,40;55,25
4621;21,57;7,01;28,60
4622;54,87;8,03;47,61
4623;58,37;8,30;32,42
4624;66,04;6,83;30,21
4625;53,26;7,92;37,94
4631;55,86;8,22;46,37
4634;26,96;10,44;73,65
4635;61,68;8,16;33,40
4641;62,46;7,61;39,26
4645;67,47;7,13;28,77
4651;37,56;8,99;55,00
4652;9,16;6,99;54,84
4655;34,36;13,18;61,43
4661;45,68;8,25;45,66
4664;35,67;8,20;57,47
4671;27,68;10,76;65,73
4675;30,11;11,56;65,84
4681;28,68;7,86;62,19
4691;24,00;10,02;56,78
4693;22,05;8,04;65,02
4694;24,88;8,95;62,54
4695;27,73;9,50;59,68
4696;20,90;8,90;59,37
4697;22,74;7,88;56,56
4698;25,93;8,99;64,50
4701;29,04;7,53;28,34
4702;27,62;7,71;31,52
4703;33,14;8,06;50,40
4704;21,18;7,56;44,13
4705;29,51;7,99;41,20
4706;30,50;8,92;37,96
4707;40,44;8,40;38,76
4708;24,35;9,45;45,09
4709;47,06;8,80;41,85
4711;23,46;7,93;40,44
4714;36,00;9,38;49,75
4715;57,09;7,48;34,47
4721;58,27;7,36;32,83
4722;43,12;7,57;45,94
4724;25,48;9,25;51,42
4725;60,64;7,35;40,75
4726;39,05;8,12;51,81
4727;42,97;9,40;53,99
4731;25,94;8,83;48,46
4735;36,61;8,40;45,18
4741;34,73;9,01;50,40
4744;56,21;8,27;36,27
4751;31,26;8,33;53,22
4754;30,42;8,71;53,43
4756;23,51;8,98;59,48
4758;31,72;8,96;54,16
4759;22,08;8,29;53,41
4761;30,84;8,64;46,19
4762;20,02;7,93;48,89
4765;16,41;7,90;54,45
4766;23,43;5,42;47,84
4771;30,06;8,09;48,95
4772;35,52;9,23;50,69
4781;31,76;11,06;60,84
4782;40,51;9,50;46,79
4791;40,80;9,20;45,82
4793;26,07;7,55;51,31
4794;30,07;9,79;56,48
4796;35,03;8,84;51,81
4797;37,94;9,15;52,32
4811;28,23;6,91;27,42
4812;25,01;7,53;33,32
4813;28,64;8,43;32,20
4814;21,21;8,51;37,87
4815;22,08;9,26;38,67
4816;24,76;9,72;36,30
4817;27,22;8,64;39,67
4818;25,93;9,03;31,51
4819;25,65;8,86;36,67
4822;39,28;8,59;35,50
4823;33,90;10,01;49,71
4824;31,02;9,72;36,87
4825;48,12;8,17;42,26
4826;29,06;7,61;37,46
4827;25,12;6,69;41,78
4834;34,09;8,81;40,96
4835;28,79;9,16;25,66
4836;56,92;7,92;38,20
4837;39,18;9,15;44,95
4838;45,79;7,53;50,29
4839;56,41;7,69;38,96
4841;33,26;9,68;51,27
4844;33,18;8,91;50,60
4845;25,54;9,03;51,89
4847;42,62;8,61;46,49
4849;56,05;8,82;32,90
4851;41,97;9,01;38,04
4854;39,96;8,74;45,63
4855;49,22;7,86;39,95
4856;52,64;8,26;41,99
4858;62,27;7,06;32,74
4859;53,84;7,33;39,56
4861;48,75;8,28;40,00
4871;25,85;8,35;43,40
4872;27,02;8,35;42,19
4873;40,24;8,75;48,07
4874;31,44;11,09;58,61
4875;27,34;9,21;29,38
4876;40,69;8,79;43,41
4877;28,61;9,40;36,04
4878;16,22;6,55;45,09
4879;25,37;8,77;43,84
4881;42,27;8,96;42,35
4882;53,35;7,56;40,51
4884;37,74;8,38;47,04
4885;50,07;9,00;45,92
4891;49,25;7,80;46,24
4901;28,16;7,91;35,87
4902;32,33;7,59;37,48
4903;55,46;9,05;35,16
4904;55,01;8,30;29,46
4905;34,73;7,66;45,35
4906;25,96;6,99;44,01
4907;26,84;8,33;30,94
4908;31,38;7,95;40,44
4909;36,00;7,79;49,98
4911;50,50;8,64;45,18
4921;26,18;8,27;42,31
4924;31,60;14,10;59,38
4926;26,76;9,45;56,38
4927;28,15;9,59;55,62
4931;30,38;8,78;53,74
4941;29,47;8,83;44,51
4942;21,14;10,79;48,89
4944;28,15;8,34;53,83
5011;41,06;8,07;41,11
5012;41,78;7,36;42,92
5013;28,62;6,23;36,70
5014;18,01;6,41;19,81
5015;36,60;7,87;36,21
5017;25,18;7,97;24,43
5018;47,94;8,04;40,57
5021;30,91;6,05;22,48
5022;41,82;7,10;34,51
5025;33,81;6,56;24,04
5026;36,28;6,65;40,41
5032;52,50;7,82;39,92
5035;19,12;7,04;41,00
5036;58,42;7,25;34,19
5037;44,71;7,13;27,14
5038;26,88;6,95;25,12
5041;24,15;7,36;21,95
5042;41,76;6,51;28,40
5043;30,59;7,30;25,91
5044;56,04;7,07;30,30
5045;28,05;8,60;41,53
5046;27,04;6,62;25,79
5047;43,46;7,81;43,04
5048;49,76;8,93;45,08
5049;51,63;8,52;35,24
5051;55,03;7,16;35,34
5052;39,28;6,94;31,75
5053;46,44;7,57;37,00
5056;36,32;8,55;43,16
5057;31,59;5,39;32,73
5059;52,62;7,58;42,78
5061;27,41;7,47;33,34
5062;53,76;9,26;32,80
5063;29,82;7,12;42,84
5066;50,94;7,82;39,71
5071;49,37;10,11;38,38
5074;47,42;9,26;42,61
5076;34,84;8,18;46,45
5081;58,91;7,25;30,26
5084;35,20;7,89;52,45
5085;67,52;6,08;26,67
5087;50,09;7,87;40,09
5089;35,90;7,94;56,23
5091;54,85;8,03;35,40
5094;58,85;6,97;32,48
5095;58,86;7,11;31,40
5096;43,19;8,85;44,88
5101;40,79;8,62;36,36
5102;23,78;7,59;42,03
5103;18,94;8,26;35,83
5104;35,77;8,11;34,09
5105;42,76;7,21;48,07
5106;27,76;8,67;50,00
5107;44,57;7,08;38,06
5109;33,50;9,11;47,59
5111;51,62;7,64;42,10
5113;52,53;7,58;38,32
5114;51,32;7,66;45,87
5121;48,06;8,50;44,73
5122;19,30;7,80;30,97
5124;45,45;8,84;48,04
5125;39,94;9,51;51,91
5126;57,38;7,39;31,07
5131;56,02;8,53;32,98
5133;54,17;7,89;37,21
5141;25,04;7,67;34,11
5142;24,57;6,92;30,37
5143;42,38;7,66;39,54
5144;25,91;7,60;32,67
5145;20,07;6,51;57,92
5146;13,36;7,58;55,36
5151;54,62;8,06;30,18
5152;27,81;8,37;32,08
5154;31,72;8,63;58,66
5156;40,12;9,71;52,66
5157;36,06;8,64;59,25
5158;32,74;8,06;57,81
5161;28,35;9,52;54,99
5165;29,03;8,50;54,93
5171;52,68;7,33;34,24
5172;20,40;7,46;34,78
5175;61,52;7,38;30,85
5176;54,06;8,55;41,95
5211;28,18;6,83;39,82
5212;25,33;7,85;35,89
5213;24,52;7,10;40,47
5215;29,79;7,34;43,32
5216;26,71;8,81;60,12
5221;32,48;11,51;60,80
5222;19,92;6,79;32,72
5223;31,35;18,23;49,12
5224;28,98;8,22;36,55
5231;28,55;10,16;52,47
5232;28,48;9,52;44,31
5233;25,90;9,47;50,54
5234;25,05;6,09;51,44
5235;24,76;9,92;52,15
5236;22,48;8,94;60,88
5237;23,88;9,93;45,77
5241;24,18;10,02;56,12
5242;32,50;10,57;53,45
5243;29,48;10,20;56,99
5244;50,43;9,58;42,27
5245;20,29;7,95;62,55
5246;26,35;8,38;43,98
5247;20,89;8,95;60,31
5248;50,14;8,44;47,69
5249;29,23;7,13;62,89
5251;35,78;8,78;57,57
5252;22,36;10,58;50,57
5253;39,72;7,71;41,75
5254;30,53;9,91;63,39
5255;31,56;8,62;66,17
5256;23,72;9,17;59,34
5257;29,24;8,52;65,05
5258;40,00;7,97;46,73
5261;45,54;8,09;38,65
5262;50,20;8,21;32,69
5263;52,17;9,03;31,39
5264;49,51;8,73;62,84
5266;43,94;7,42;50,68
5268;58,39;7,48;34,09
5271;40,61;8,13;48,77
5272;24,62;8,06;30,23
5275;27,80;8,32;50,33
5281;45,97;8,65;38,94
5282;45,50;8,15;38,44
5283;46,95;7,96;39,38
5291;39,20;7,84;51,49
5292;30,05;9,21;60,04
5293;29,98;7,98;54,16
5294;41,29;7,72;51,68
5296;36,99;8,59;50,82
5298;44,49;9,29;45,49
5301;24,47;9,74;52,95
5302;8,64;7,15;43,23
5305;28,42;11,03;57,83
5306;26,84;8,71;61,99
5307;28,01;11,12;65,30
5308;27,97;8,82;53,88
5311;31,27;9,84;55,14
5313;23,21;9,32;63,54
5314;25,94;8,37;62,34
5315;27,97;9,32;63,45
5316;36,67;9,38;54,13
5317;35,23;8,89;54,34
5318;25,33;8,82;63,26
5321;24,03;9,09;58,43
5324;24,52;8,53;56,41
5325;25,97;8,52;60,93
5327;29,74;13,65;59,99
5328;24,47;8,91;60,23
5331;21,79;8,80;58,02
5333;26,94;10,24;67,72
5334;23,27;7,82;63,63
